id,title,author,authors,isbn13,isbn10,price,publisher,pubyear,subjects,lexile,pages,dimensions
81,American Fantastic Tales Boxed Set,Peter Straub,Peter Straub,9.7816E+12,1598530593,$49.42,Library of America,2009,"Fiction, American Literature Anthologies, Fiction Subjects",,1500,5.40 (w) x 8.60 (h) x 2.80 (d)
330,American Fantastic Tales: Terror and the Uncanny from Poe to the Pulps,Peter Straub,Peter Straub,9.7816E+12,159853047X,$33.77,Library of America,2009,"Fiction, American Literature Anthologies, Fiction Subjects",,750,5.22 (w) x 8.18 (h) x 1.29 (d)
421,American Fantastic Tales: Terror and the Uncanny from the 1940s to Now,Peter Straub,Peter Straub,9.7816E+12,1598530488,$25.73,Library of America,2009,"Fiction, American Literature Anthologies, Fiction Subjects",,750,5.18 (w) x 8.16 (h) x 1.25 (d)
96,Writing New York: A Literary Anthology,Phillip Lopate,Phillip Lopate,9.7816E+12,1598530216,$24.02,Library of America,2008,"American Literature Anthologies, General & Miscellaneous Literature Anthologies",,1050,6.06 (w) x 9.26 (h) x 1.57 (d)
278,"Richard Wright: Later Works (Black Boy, American Hunger, The Outsider)",Richard Wright,"Richard Wright, Arnold Rampersad",9.78094E+12,940450674,$26.80,Library of America,1991,"Peoples & Cultures - American Anthologies, African Americans - Fiction & Literature",,887,5.14 (w) x 8.16 (h) x 1.16 (d)
404,"Richard Wright: Early Works (Lawd Today!, Uncle Tom's Children, Native Son)",Richard Wright,"Richard Wright, Arnold Rampersad",9.78094E+12,940450666,$23.76,Library of America,1991,"American Literature Anthologies, Peoples & Cultures - Fiction",,936,5.16 (w) x 8.16 (h) x 1.15 (d)
304,Poets of World War II,Various,"Various, Harvey Shapiro",9.78193E+12,1931082332,$17.71,Library of America,2002,"Poetry Anthologies, War Poetry, American Poetry, American Literature Anthologies",,262,4.78 (w) x 7.80 (h) x 0.84 (d)
320,"American Poetry: The Nineteenth Century (Melville to Stickney, American Indian Poetry, Folk Songs and Spirituals) (Library of America), Vol. 2",Various,"Various, John Hollander",9.78094E+12,094045078X,$35.00,Library of America,1993,"Literary Collections, English, Irish, Scottish, Welsh",,,
473,American Wits: An Anthology of Light Verse,VARIOUS,VARIOUS,9.78193E+12,1931082499,$19.28,Library of America,2003,"Humor, Poetry, American Literature Anthologies, Anthologies",,200,4.74 (w) x 7.84 (h) x 0.68 (d)
449,"Slave Narratives: James Albert Ukawsaw Gronniosaw, Olaudah Equiano, Nat Turner, Frederick Douglass, William Wells Brown, Henry Bibb, Sojourner Truth, William and Ellen Craft, Harriet A. Jacobs, Jacob D. Green (Library of America)",William L. Andrews,"William L. Andrews, Henry Louis Gates Jr.",9.78188E+12,1883011760,$33.60,Library of America,2000,"Slavery - Social Sciences, Slavery & Abolitionism - African American History, Slave Narratives & Biographies, American Literature Anthologies, African American General Biography",,992,5.28 (w) x 8.25 (h) x 1.28 (d)
